zip5,sumtotal
20176,24483.32
33141,24455.3
02109,24453.28
03301,24443.18
93402,24351.78
91326,24326.89
34202,24302.25
19027,24299.72
94085,24277.34
20194,24266.18
01230,24197.9
34108,24173
27519,24169.16
66208,24143.9
92603,24124.079999999998
97205,24093.04
30341,24073.56
30677,24049.81
29464,24049.3
98407,24026.51
92120,24021.37
97008,24011.56
80205,24009.6
77381,24000.04
98683,23966.37
32309,23962.89
21045,23957.11
78756,23953.76
30082,23949.18
80203,23879.51
78727,23863.68
60010,23850.08
92660,23820.15
95054,23805.84
40207,23793.36
30311,23776.95
95128,23717.16
80134,23700.57
94089,23688.41
94568,23687.92
94574,23682.75
92028,23670.61
62704,23656.58
98011,23654.64
27513,23641.51
92007,23637.86
43017,23614.33
92657,23578.5
75204,23565.02
44107,23530.91
75209,23517.5
01970,23500.07
77479,23479.02
10510,23475.03
94506,23450.05
98335,23389.58
84105,23380.31
98106,23379.96
60089,23378.14
94158,23365.58
95628,23362.8
94030,23273.77
18902,23270.75
11377,23268.94
05055,23255.42
92649,23105.39
20905,23090.56
92506,23086.56
75007,23043.19
92672,23036.84
83843,22998.48
94949,22985.56
11230,22980.77
92008,22966.82
53726,22958.04
31401,22928.29
85254,22917.75
08873,22888.17
98007,22861.57
95670,22846.23
22032,22843.15
78212,22828.2
97224,22804.62
80123,22795.83
85282,22789.83
32963,22787.86
19355,22737.78
10522,22733.88
78748,22718.42
66049,22645.58
95066,22621.75
10507,22604.65
07039,22590.18
59715,22583.88
99516,22555.87
95825,22547.12
02466,22537.34
87544,22535.98
27510,22520.72
85749,22483.21
95926,22481.57
92630,22405.95
28806,22398.39
55422,22397.09
01730,22394.92
33304,22378.54
20770,22355.75
34238,22343.91
77030,22334.77
98607,22332.85
94063,22305.04
84060,22289.86
99801,22282.74
97007,22241.92
55906,22234.83
85739,22232.52
91601,22229.58
87120,22217.86
33146,22213.29
22042,22207.83
60521,22207.06
93514,22194
33410,22183.97
97222,22174.87
20171,22158.64
33629,22158.49
85755,22151.29
