zip5,sumtotal
75044,13340.13
33436,13333.38
23454,13331.42
11937,13327.5
63010,13322.09
94526,13305.64
33602,13284.99
20148,13278.47
34113,13256.63
93720,13254.75
23320,13248.59
48167,13242.62
85251,13237.86
60174,13237.63
12572,13199.99
29020,13186.83
95630,13168.79
78015,13165.91
30518,13144.2
80023,13139.15
72758,13124.99
60654,13123.66
21136,13113.61
66224,13105.59
95628,13085.28
38655,13060.57
95476,13056.13
89158,13050
34275,13044.99
92028,13039.78
36532,13005.71
76049,12983.99
28403,12969.44
48009,12961.55
31324,12928.63
34112,12924.22
92683,12906.93
31401,12897.36
24211,12890.7
29072,12880.95
22182,12865.39
01945,12852.33
32413,12836.67
32778,12831.41
92869,12801.62
61550,12795.99
92691,12779.38
48307,12775.13
84010,12771.53
30802,12770.99
30043,12766.06
30253,12753.16
99516,12730.84
77304,12726.5
91436,12714.24
94556,12709.54
77586,12693.26
22903,12667.48
01810,12649.96
84770,12642.34
22315,12640.63
75056,12639.79
79109,12623.56
80920,12612.41
45242,12609.71
33137,12599.99
20176,12593.78
80550,12589.95
85028,12582.23
08330,12579.59
45230,12573.68
27410,12568.42
52722,12565.16
63005,12553.13
97224,12549.26
20852,12548.29
24202,12539.56
33701,12536.49
80908,12530.64
70124,12527.8
95693,12510.48
92780,12504.88
33324,12482.01
95014,12474.15
28461,12460.22
73025,12455.73
38138,12419.41
29707,12413.84
07834,12398.54
22153,12393.98
85748,12391.03
92091,12377.78
30517,12373.97
53072,12362.64
66209,12358.62
20850,12355.15
95032,12353.48
29036,12343.05
43221,12342.64
33803,12342.22
94303,12338
75019,12297.79
77094,12291.66
73034,12289.09
18977,12287.3
80504,12271.12
98286,12261.65
89523,12259.5
76017,12256.86
85250,12220.01
91106,12215.13
61615,12208.53
78070,12203.69
19803,12193.51
75603,12169.76
92647,12151.1
29405,12144.58
76120,12144.17
85354,12133.33
48813,12123.83
21093,12117.02
76001,12115.53
70118,12115.24
60067,12102.15
30102,12090.11
21401,12082.41
30060,12078.33
32043,12075.33
98685,12071.64
78216,12068.46
01089,12066.8
22032,12063.98
92103,12062.45
92861,12057.16
31201,12052.5
18938,12047.05
23602,12046.98
78750,12043.53
28270,12041.43
70570,12038.32
76904,12026.03
93420,12024.97
75071,12024.24
92870,12023.72
23113,12006.65
96813,12002.92
90280,12000.65
30341,11997.65
07090,11995.8
92118,11989.41
76086,11946.93
89509,11941.64
28031,11932.1
37659,11923.08
93012,11918.28
89117,11917.38
85715,11911.5
28210,11899.64
92806,11890.98
19103,11890.84
79072,11884.99
60187,11871.66
17601,11871.28
59715,11864.22
23456,11863.47
30033,11856.89
57108,11851.22
89460,11838.67
94506,11832.54
60035,11809.78
49546,11801.26
91107,11799.6
38305,11797.9
75077,11793.19
34106,11785
72207,11785
28036,11781.46
52748,11780
92011,11757.86
77706,11755.05
85755,11749.37
60540,11744.6
75235,11741.66
98335,11741.44
90403,11740.45
80210,11720.78
28741,11715.82
77441,11715.62
70582,11714.99
93309,11701.75
66071,11697.82
21403,11695.15
